1,21 - 1, Mixed Cocktail, Tall Highball, Lime Wheel, Mother`s Day, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, Dash Grenadine, In Shaker, mix ingredients, pour over ice,
2,21 - 2, Mixed Cocktail, Collins, Orange Slice & Lime Wheel, Green, 1 1/4 oz. Coconut Rum, 3/4 oz. Melon Liqueur, 2 oz. Orange juice, 2 oz. Pineapple juice, Pour Over 1 oz. Soda, In Shaker, mix ingredients, pour over ice
3,21 - 3, Mixed Cocktail, Highball Glass, Pineapple, Any, 1 1/2 oz. Early Times, 1 oz. Apricot Brandy, 2 oz. Pineapple juice, Club Soda, Shake ingredients with ice; pour into highball glass; stir in club soda,,,
4,57 T - Birds (California Plates), Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Scotch, 1 oz. Coffee Liqueur, 3 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
5,57 T - Birds (Cape Cod Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Cranberry juice, In Shaker, mix ingredients with ice and strain into glass,,,
6,57 T - Birds (Florida Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Grapefruit juice, In Shaker, mix ingredients with ice and strain into glass,,,
7,57 T - Bird, Mixed Cocktail, Rocks Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Grand Marnier, 1/2 oz. Amaretto Di Saronno, splash Pineapple juice, Fill shaker half full with ice, add ingredients; stir; strain into rocks glass,,
8,77 Sunset Strip - 1, Martini, Chilled Cocktail, 3 Speared Cocktail Onions, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, In Shaker, mix ingredients with ice and strain into glass,,,,
9,77 Sunset Strip - 2, Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz. Amaretto, 1/2 oz. Vodka, 1/2 oz. Pineapple juice, In Shaker, mix ingredients with ice and strain into glass,,
10,77 Sunset Strip - 3, Shooter, Cordial, None, 4th of July, 1/2 oz. Creme de Noya, 1/2 oz. White Creme de Menthe, 1/2 oz. Blue Curacao, Pour Liqueurs in the order they are listed,,,,
11,7th - Inning Stretch, Mixed Cocktail, Cocktail Glass, None, Any, 1 part Jack Daniel`s, 2 parts Orange juice, 2 parts 7-Up, Mix ingredients and pour into cocktail glass,,,,
12,Adam`s Apple - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Galliano, 3/4 oz. White Creme de Menthe, Pour ingredients as listed over ice,,,,,
13,Adam`s Apple - 2, Martini, Chilled Cocktail, Lemon Twist, Any, 1 oz. Harvey`s Bristol Cream, 1 oz. Dubonnet, In Shaker, mix ingredients with ice and strain into glass,,,,
14,Adam`s Apple - 3, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Finlandia Vodka, Pour Finlandia vodka over ice, fill with apple cider, stir,,,,
15,Adios Mother - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Gold Tequila, 1/2 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
16,Adios Mother - 2, Highball, Tall Highball, None, Any, 3/4 oz. Irish Cream, 3/4 oz. Amaretto, 1 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
553,Leruth`s Southern Comfort Eggnog, Punch, Tall Glass, None, Any, 3/4 c Southern Comfort, 1/2 c Sugar, 6 Eggs, 1 qt Whipping Cream, to taste Vanilla Extract, Separate egg whites from the yolks, and place in separate bowls; lightly beat su,
554,Liberty Bell, Mixed Cocktail, Stemmed Glass, None, Any, 1 oz. Early Times, 1 oz. Brown Cacao, 1 oz. Fresh Cream, Shake ingredients vigorously with cracked ice; strain into stemmed glass,,,,
555,Licorice Stick Jack Manhattan, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Jack Daniel`s, 1/2 part Oblio Sambuca, Coffee Bean,,,,,
556,Lime Daiquiri - 1, Frozen Drink, Tall Specialty, Lime Wheel, Any, 1 1/4 oz. Rum, 1 1/4 oz. Lime juice, 1 oz. Simple Syrup, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
557,Lime Daiquiri - 2, Mixed Cocktail, Tall Highball, Lime Wheel, Any, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, In Shaker, mix ingredients, pour over ice,,
558,Lime Daiquiri - 3, Martini, Chilled Cocktail, Lime Wheel, Any, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, In Shaker, mix ingredients with ice and strain into glass,,,
559,Lime Frost, Mixed Cocktail, Stemmed Glass, Lime wedge, Any, 1 1/2 oz. Southern Comfort, 2 scoops Lime Sherbet, 1 c Crushed Ice, Place sherbet, Southern Comfort and ice in a blender; blend until mixture can be sipped through a straw,,,
560,Linstead, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Early Times, dash Pernod, 1 oz. Pineapple juice, dash Lemon juice, 3 dashes Bitters, Bitters is optional,,
561,Lion Tamer, Mixed Cocktail, Short Glass, None, Any, 3/4 oz. Southern Comfort, 1/4 oz. Lime juice, Mix ingredients as listed,,,,,
562,Lollipop, Mixed Cocktail, Tall Glass, Orange slice and cherry, Any, 1 oz. Southern Comfort, 1 oz. Creme de Noyaux, 3 1/2 oz. Orange juice, 1 1/2 oz. Pineapple juice, Pour into a Collins glass filled with ice,,,
563,Lone Ranger, Mixed Cocktail, Short Glass, None, Any, 1/3 oz. Southern Comfort, 1/3 oz. Blackberry Brandy, 1/3 oz. Ouzo, Mix ingredients as listed,,,,
564,Long Hot Night, Mixed Cocktail, Tall Glass, None, Any, 2 oz. Jack Daniel`s, 2 oz. Pineapple juice, 2 oz. Cranberry juice, Mix ingredients as listed,,,,
565,Long Island Iced Tea - 2, Mixed Cocktail, Tall Glass, None, Any, 1/2 oz. Finlandia Vodka, 1/2 oz. Pepe Lopez Tequila, 1/2 oz. Rum, 1/2 oz. Gin, Mix ingredients as listed,,,
566,Los Angeles Cocktail, Mixed Cocktail, Cocktail Glass, None, Any, 2 oz. Early Times, 2-3 dashes Noilly Prat Sweet Vermouth, 1/2 oz. Lemon juice, 1 oz. Sugar Syrup, 1/2 (raw) Egg, Mix ingredients as listed,,
567,Louisville Stinger, Mixed Cocktail, Rocks Glass, Lemon peel, Any, 1 1/2 oz. Early Times, 1/4 oz. White Creme de Menthe, dash Bitters, Rub edge of rocks glass with lemon peel; over rocks add ingredients and stir,,,,
568,Love Potion #9, Frozen Drink, Stemmed Glass, Lime, cherry, and orange on pick, Any, 1 oz. Southern Comfort, 1/2 oz. Creme de Banana, 1/2 oz. Amaretto, 2 oz. Orange juice, 1/2 oz. Grenadine, Pour all ingredients in blender with ice and blend until frozen; pour into hurricane glass
569,Madeira Cocktail, Mixed Cocktail, Tall Glass, Orange wedge, Any, 1 1/2 oz. Canadian Mist, 1 1/2 oz. Madeira, 1 tsp Grenadine, dash Lemon juice, Orange Wedge, Mix ingredients as listed,,
570,Main Squeeze, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Southern Comfort, Orange juice, Crushed Ice, Pour in a tall glass,,,,
571,Man O War, Mixed Cocktail, Tall Glass, None, Any, 2 oz. Jack Daniel`s, 1/2 oz. Noilly Prat Sweet Vermouth, 1 oz. Orange Curacao, dash Lime juice, Mix ingredients as listed,,,
572,Manhasset, Mixed Cocktail, Tall Glass, Lemon wedge, Any, 1 1/2 oz. Early Times, 1/4 oz. Noilly Prat Sweet Vermouth, 1/4 oz. Noilly Prat Dry Vermouth, 1 oz. Lemon juice, Lemon Wedge, Mix ingredients as listed,,
573,Manhattan - 1, Highball, Goblet, Lemon Twist or Speared Cherry, Father`s Day, 2 oz. Bourbon, Dash Angostura Bitters, Dry - 1/2 oz. Dry Vermouth, Sweet - 1/2 oz. Sweet Vermouth, Perfect - 1/4 oz. Dry Vermouth & 1/4 oz. Sweet Verm, Pour ingredients as listed over ice,,
574,Manhattan - 2, Martini, Chilled Cocktail, Lemon Twist or Speared Cherry, Father`s Day, 2 oz. Bourbon, Dash Angostura Bitters,   Dry - 1/2 oz. Dry Vermouth Sweet - 1/2 oz. Sweet Vermouth  Perfect - 1/4 oz. Dry Vermouth & 1/4 oz. Sweet, In Shaker, mix ingredients with ice and strain into glass,,,
575,Manhattan - 3, Mixed Cocktail, Short Glass, Cherry, Any, 1 1/2 oz. Old Forester Bourbon, 1/2 oz. Noilly Prat Sweet Vermouth, dash Bitters, Cherry, Mix ingredients as listed,,,
576,Manhattan Cooler, Mixed Cocktail, Collins Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Noilly Prat Dry Vermouth, 1/2 oz. Amaretto, 2 oz. Orange juice, 1 oz. Lemon juice, Mix all ingredients, except club soda, with cracked ice in shaker or blender; pour into a chilled Collins glass; fill with club soda
577,Manhattan Dry, Mixed Cocktail, Cocktail Glass, None, Any, 2 oz. Canadian Mist, 1/2 oz. Noilly Prat Dry Vermouth, dash Bitters, Angostura Bitters (optional); mix all ingredients with plenty of ice in a mixing glass or a pitcher; strain into a chilled cocktail glass; twist lemon,,,
578,Manhattan Perfect, Mixed Cocktail, Cocktail Glass, Lemon peel or maraschino cherry, Any, 2 oz. Canadian Mist, 1/2 oz. Noilly Prat Sweet Vermouth, 1/4 oz. Noilly Prat Dry Vermouth, dash Bitters, 1 Maraschino Cherry, Angostura bitters (optional); mix all ingredients with cracked ice in a mixing glass or pitcher and strain into a chilled cocktail glass,
579,Maple Leaf, Mixed Cocktail, Short Glass, None, Any, 1 oz. Canadian Mist, 1/4 oz. Lemon juice, 1 tsp Maple Syrup, Mix ingredients as listed,,,
580,Margarita, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Pepe Lopez Tequila, 1/2 oz. Triple Sec, 1 oz. Lemon juice, Lime juice may be substituted,,,
581,Margarita By The Pitcher, Mixed Cocktail, Stemmed Glass, Lime wedge, Any, 5 oz. Pepe Lopez Tequila, 6 oz. frozen Limeade Concentrat, 2 oz. Triple Sec, 4-5 c Crushed Ice, Mix vigorously in blender until slush-like; rim cocktail glass with rind of lime; pour contents into salted cocktail glass,,
582,Maria`s Manhattan, Mixed Cocktail, Cocktail Glass, Strawberry, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Noilly Prat Dry Vermouth, 1/2 oz. Stawberry Liqueur, Ice Cubes, 1 Strawberry, Pour all ingredients in a mixing glass with several ice cubes and stir well; strain into a chilled cocktail glass,
583,Markos Marvelous Mango, Mixed Cocktail, Stemmed Glass, None, Any, 1 oz. Southern Comfort, 3/4 oz. Peach Schnapps, 1/4 oz. Galliano, 6 oz. Orange juice, dash Grenadine, Put crushed ice in blender with all ingredients and blend well; sugar the rim of the glass,
584,Martini - 1, Highball, Goblet, 2 Speared Queen-Size Olives, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, Pour ingredients as listed over ice,,,,
585,Martini - 2, Martini, Chilled Cocktail, 2 Speared Queen-Size Olives, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, In Shaker, mix ingredients with ice and strain into glass,,,
586,Marvelous Mango, Mixed Cocktail, Tall Glass, None, Any, 1 oz. Southern Comfort, 3/4 oz. Peach Schnapps, 1/4 oz. Galliano, Orange juice, dash Grenadine, Mix ingredients as listed,
587,Masonry, Mixed Cocktail, Short Glass, None, Any, 2/3 oz. Southern Comfort, 1/3 oz. Grand Marnier, Mix ingredients as listed,,,,
588,Mediterranean Sunset, Mixed Cocktail, Tall Glass, Lime wedge, Any, 1 1/2 oz. Korbel Spiced Brandy, squeeze Lime Wedge, 1/2 oz. Gold Rum, 4 oz. Ginger Ale, Combine the Korbel Brandy, lime and rum over ice in a 12 oz. glass and top with ginger ale,
589,Memorial Sunrise, Mixed Cocktail, Tall Glass, None, Any, 1 oz. Early Times, 1/2 oz. Grenadine, Orange juice, After mixing ET and grenadine in tall glass, top off with orange juice,,
590,Memphis Belle, Shooter, Shot Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Bailey`s Irish Cream, Fill shaker can 1/2 full with ice; add ingredients; shake; strain into 1 1/4 oz. shot glass,,,,
591,Metro, Ice Cream Drink, Tall Specialty, Banana Slice, Any, 1/2 Ripe Banana, 1 1/4 oz. Coffee Liqueur, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
592,Mexican Flag 3, Shooter, Shot Glass, None, Any, 1 part Pepe Lopez Tequila, 1 part Creme de Noyaux, 1 part Green Creme de Menthe, 1 part Bacardi 151 Proof Rum, Layered,,
593,Mexican Momma, Shooter, Shot Glass, None, Any, 2/3 Pepe Lopez Tequila, 1/3 Maple Syrup, Mix ingredients as listed,,,,,,
594,Mexican Runner, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 oz. Pureed Strawberries, 1/2 oz. Tequila, 1/2 oz. Dark Rum, 1/4 oz. Blackberry Brandy, 1/4 oz. Banana Liqueur, 1/2 oz. Sweet & Sour Mix, 1/2 oz. Lim, Combine ingredients in blender, blend until smooth
595,Miles Of Smiles, Mixed Cocktail, Short Glass, None, Any, 1/2 oz. Canadian Mist, 1/2 oz. Peppermint Schnapps, 1/2 oz. Amaretto, Mix ingredients as listed,,,,,
596,Milk Punch, Mixed Cocktail, Stemmed Glass, None, Any, 2 oz. Jack Daniel`s, 1/2 oz. Korbel Brandy, 1/2 oz. Rum, 2/3 cup Vanilla Ice Cream, 1/4 c Half `n` Half, Process all ingredients in a blender until thick; sprinkle a dash of nutmeg on top before serving,,,
597,Millionaire, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Jack Daniel`s, 1/2 oz. Pernod, 1 tsp Triple Sec, 1 tsp Grenadine, 1/2 of 1 Egg White, Mix ingredients as listed,,,
598,Mimosa, Wine Drink, Tall Specialty, Orange Slice, Brunch, 5 oz. Orange juice, 3 oz. Champagne, Pour ingredients as listed over crushed Ice,,,,,,
599,Mint Julep, Mixed Cocktail, Mint Julep Glass, None, Any, 1 oz. Early Times, 1 tsp Sugar, Mint Sprig, Mix ingredients as listed,,,,,
600,Mississippi Mud, Mixed Cocktail, Parfait Glass, None, Any, 1 1/2 oz. Southern Comfort, 1 1/2 oz. Coffee Liqueur, 2 Large Scoops Vanilla Ice Cream, Blend Southern Comfort, coffee liqueur and ice cream in blender until thick. Spoon into parfait glass and garnish with shaved chocolate,,,,
601,Mississippi Mud Puppy, Mixed Cocktail, Short Glass, None, Any, 1/3 oz. Southern Comfort, 1/3 oz. Dark Creme de Cacao, 1/3 oz. Fresh Cream, Mix ingredients as listed,,,,,
602,Mist And 7, Mixed Cocktail, Highball Glass, None, Any, 1 1/2 oz. Canadian Mist, 4 oz. 7-Up, Mix ingredients as listed,,,,,,
603,Mist And Twist, Mixed Cocktail, Rocks Glass, None, Any, 2 oz. Canadian Mist, twist Lemon, Mix ingredients as listed,,,,,,
604,Mist Behavin, Mixed Cocktail, Tall Glass, Cherry, Any, 1 1/2 oz. Canadian Mist, 2 oz. Peach Schnapps, 2 oz. Orange juice, Serve in a tall glass over ice,,,,,
605,Mist Manhattan, Mixed Cocktail, Highball Glass, Cherry, Any, 1 1/2 oz. Canadian Mist, 3/4 oz. Noilly Prat Sweet Vermouth, Cherry, Mix ingredients as listed,,,,,
606,Mistea, Hot Drink, Coffee Mug, Lemon wedge, Any, 1 1/2 oz. Canadian Mist, 7 oz. Hot Tea, 1 Tbsp Honey, 1 Lemon Wedge, Mix ingredients into a mug,,,,
607,Mistical Eggnog, Mixed Cocktail, Short Glass, None, Any, 12 oz. Canadian Mist, 1 can Condensed Milk, 2 Tbsp Chocolate Flavored Syrup, 1 tsp Almond Extract, 3 Eggs, 1/2 c Whipping Cream, Chill and serve with cinnamon stick or cherry garnish and sprinkle of nutmeg,,
608,Mistical Holiday Punch, Punch, Punch Bowl, None, Any, 1.75 L bottle Canadian Mist, 2 cans frozen Orange juice (12 o, 1 - 12oz. can frozen Lemonade, 2 liters Ginger Ale, In a large punch bowl, mix Canadian Mist, orange juice, and lemonade; just before serving, add ginger ale to taste; serve on ice
609,Misting, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. White Creme de Menthe, Mix ingredients as listed,,,,,
610,Misty Mountain Moonshine, Mixed Cocktail, Tall Glass, Lime wheel and cherry, Any, 1/2 oz. Jack Daniel`s, 3/4 oz. Southern Comfort, 1 oz. Peach Schnapps, 1 oz. Pineapple juice, 1 oz. Grenadine, 1 oz. Sweet and Sour Mix, 1 oz. Cream o, Blend for 60 secondsy
611,Mocha Jack Manhattan, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Jack Daniel`s, 1/2 part Coffee Liqueur (Kahlua), 1/2 part Creme de Cacao, Add coffee bean,,,,
612,Mocha Truffle, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 1/4 oz. Chocolate Liqueur, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,,,,
613,Mockingbird, Mixed Cocktail, Short Glass, None, Any, 1 1/4 oz. Pepe Lopez Tequila, 1 oz. Lime juice, dash White Creme de Menthe, Mix ingredients as listed,,,,
614,Mockingbird Blossom, Mixed Cocktail, Tall Glass, Lemon twist, Any, 1 1/2 oz. Jack Daniel`s, several Strawberries, dash Bitters, 7-Up, Blackberries may be substituted; mash berries; combine with Jack Daniel`s and bitters over crushed ice in a tall class; fill with 7-Up; top with a spl,,,
615,Monkey Bite, Shooter,  Chilled Rocks, None, Birthday, 3/4 oz. Coffee Liqueur, 3/4 oz. Banana Liqeuer, 3/4 oz. Dark Creme de Cacao, In Shaker, mix ingredients with ice and strain into glass,,,
616,Monotone, Mixed Cocktail, Tall Glass, Lime wedge or slice, Any, 1 oz. Jack Daniel`s, 1/2 oz. Blueberry Brandy, 3 parts 7-Up, Stir together Jack Daniel`s and Korbel Brandy in a tall glass; add ice cubes and top with 7-Up,,,,
617,Monster Bash, Mixed Cocktail, Tall Glass, None, Any, 3/4 oz. Jack Daniel`s, 3/4 oz. Triple Sec, 3/4 oz. Sweet and Sour Mix, 7-Up, Mix ingredients as listed,,,
618,Mont Blanc, Ice Cream Drink, Tall Specialty, Cherry, Any, 1 1/4 oz. Raspberry Liqueur, 2 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
619,Monte Carlo, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Benedictine, 3 dashes Bitters, Mix ingredients as listed,,,,
620,Moose juice, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/2 oz. Brandy, 1/2 oz. Coffee Liqueur, 1/2 oz. Dark Creme de Cacao, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,,
621,Moose Milk, Mixed Cocktail, Short Glass, None, Any, 1/4 oz. Old Forester Bourbon, Milk, Fill with milk,,,,,
622,Moscow Mule, Highball, Collins, Lime Squeeze, Any, 1 1/4 oz. Vodka, Fill with Ginger Beer, Pour ingredients as listed over ice,,,,,
623,Motlow`s Medicine, Mixed Cocktail, Rocks Glass, None, Any, 1 oz. Jack Daniel`s, 1 oz. Amaretto, 1/2 oz. Sloe Gin, Mix all ingredients and serve over ice,,,,
624,Motone, Mixed Cocktail, Tall Glass, Lime wedge, Any, 1 oz. Jack Daniel`s, 1/2 oz. Blueberry Brandy, 3 parts 7-Up, Stir together in a tall glass over ice,,,,
625,Mountain Man, Mixed Cocktail, Short Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Pepe Lopez Tequila, float Bacardi 151 Proof Rum, Mix ingredients as listed,,,,
626,Muddy Water, Highball, Tall Rocks, None, Any, 1 oz. Vodka, 1/2 oz. Coffee Liqueur, 1/2 oz. Irish Cream, Pour ingredients as listed over ice,,,,
627,Mudslide Shooter, Shooter, Chilled Rocks, None, Any, 3/4 oz. Coffee Liqueur, 3/4 oz. Irish Cream, 3/4 oz. Vodka, In Shaker, mix ingredients with ice and strain into glass,,,
628,Mudslinger I, Mixed Cocktail, Short Glass, None, Any, 1/2 oz. Jack Daniel`s, 1/2 oz. Bailey`s Irish Cream, Coffee Liqueur (Kahlua), Mix ingredients as listed,,,,
629,Napa Shooter, Shooter, Chilled Rocks, None, Any, 1 1/2 oz. Vodka, 1/2 oz. Grape juice, Squeeze and Drop In One Lemon Wedge, In Shaker, mix ingredients with ice and strain into glass,,,
630,Narragansett, Mixed Cocktail, Highball Glass, Lemon wedge, Any, 1 1/2 oz. Jack Daniel`s, 1 oz. Noilly Prat Sweet Vermouth, dash Anisette Liqueur, Lemon Wedge, Mix ingredients as listed,,,
631,Nashville Shooter, Shooter, Chilled Rocks, None, Any, 1 1/2 oz. Vodka (Premium), 1/2 oz. Cranberry juice, Squeeze and Drop In 1 Lime Wedge, In Shaker, mix ingredients with ice and strain into glass,,,
632,Nasty Jacks, Mixed Cocktail, Short Glass, None, Any, 1/3 oz. Jack Daniel`s, 1/3 oz. Yukon Jack, Include 1/3 oz. Apple Jack,,,,,
633,Negroni, Highball, Tall Highball, Lemon Twist, Any, 3/4 oz. Gin, 3/4 oz. Campari, 3/4 oz. Sweet Vermouth, Top with Soda, Pour ingredients as listed over ice,,,
634,Nelson Cappuccino, Cappuccino, Footed Glass Mug, Heavy Whipping Cream, Shaved Chocolate & Cookie, Any, 1/2 oz. Hazelnut Liqueur, 1/2 oz. Irish Cream, 3 oz. Milk, 1 Espresso Shot, Steam milk and liquor together in mug until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of steamed milk/liquor mixture
635,Nevins, Highball, Tall Rocks, None, St. Patrick`s Day, 1 1/2 oz. Hazelnut Liqueur, 3/4 oz. Irish Cream, Pour ingredients as listed over ice,,,,,
636,New World, Mixed Cocktail, Tall Glass, Lime wedge, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Lime juice, 1 tsp. Grenadine, Lime Wedge, Mix ingredients as listed,,,
637,New York Cocktail, Mixed Cocktail, Tall Glass, Orange wedge, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Lime juice, 1 tsp Sugar Syrup, dash Grenadine, Orange Wedge, Mix ingredients as listed,,
638,New York Slammer, Mixed Cocktail, Tall Glass, None, Any, 1 part Southern Comfort, 1 part Amaretto, 1 part Triple Sec, 1 part Sloe Gin, 1 part Orange juice, Mix ingredients as listed,,
639,Niagara Falls, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Irish Mist, 1/2 oz. Whipping Cream, Mix ingredients as listed,,,,
640,Nocturnal, Mixed Cocktail, Short Glass, None, Any, 2 oz. Jack Daniel`s, 1 oz. Dark Creme de Cacao, Fresh Cream, Fill with fresh cream or milk,,,,
641,Nureyev, Highball, Tall Rocks, None, Any, 1 1/2 oz. Vodka, 3/4 oz. White Creme de Cacao, Pour ingredients as listed over ice,,,,,,
642,Nutty Buddy, Ice Cream Drink, Tall Specialty, Chopped Pecans, Any, 1 1/4 oz. Hazelnut Liqueur, 1 oz. Chocolate Syrup, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
643,Nutty Jack And Coke, Mixed Cocktail, Collins, Orang Cherry Wrap, Any, 3/4 oz. Jack Daniel`s, 3/4 oz. Amaretto, fill with Coke, splash Sweet & Sour, Pour ingredients as listed over ice,,,,
644,O, Mixed Cocktail, Short Glass, None, Any, 1 oz. Jack Daniel`s, 1 oz. B & B, 7-Up, Mix ingredients as listed,,,,,
645,O. J. Southern Comfort, Mixed Cocktail, Tall Glass, Orange wedge, Any, 1 1/2 oz. Southern Comfort, Orange juice, Pour Southern Comfort into a tall glass over ice; fill with orange juice,,,,,,
646,Oatmeal Cookie, Shooter, Chilled Rocks, None, Winter, 3/4 oz. Irish Cream, 3/4 oz. Amaretto, 1/2 oz. Cinnamon Schnapps,1/2 oz. Half & Half, In Shaker, mix ingredients with ice and strain into glass,,,
647,Oh Henry, Mixed Cocktail, Short Glass, Lemon wedge, Any, 1 1/2 oz. Early Times, 1/4 oz. Benedictine, Ginger Ale, Lemon Wedge, Mix ingredients as listed,,,,
648,Old Fashioned - 1, Highball, Goblet, Lemon Twi, Cherry & Orange Slice, Any, Muddle Cherry and Orange Slice Then Discard, 1/2 oz. Simple Syrup, Dash Angostura Bitters, 2 oz. Bourbon, Pour ingredients as listed over ice,,,
649,Old Fashioned - 2, Martini, Chilled Cocktail, Lemon Twist, Cherry & Orange Slice, Any, Muddle Cherry and Orange Slice Then Discard, 1/2 oz. Simple Syrup, Dash Angostura Bitters, 2 oz. Bourbon, In Shaker, mix ingredients with ice and strain into glass,,
650,Old Fashioned - 3, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Jack Daniel`s, 1/2 oz. Sugar Syrup, dash Bitters, Mix ingredients as listed,,,,,
651,Old Groaner`s Wife, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Early Times, 1/2 oz. Amaretto, Fresh Cream, Fill with fresh cream,,,,,
652,Old Lady, Mixed Cocktail, Short Glass, None, Any, 1 1/4 oz. Pepe Lopez Tequila, 3/4 oz. Cointreau, 3/4 oz. Lime juice, dash Grenadine, Mix ingredients as listed,,,,
653,Old-fashioned Manhattan, Mixed Cocktail, Cocktail Glass, Maraschino cherry, Any, 1 1/2 oz. Canadian Mist, 1 1/2 oz. Noilly Prat Sweet Vermouth, Maraschino Cherries, Mix all ingredients with cracked ice in a shaker or blender; pour into a chilled cocktail glass,,,,,
654,Olympia Cappuccino, Cappuccino, Footed Glass Mug, Heavy Whipping Cream, Shaved Chocolate & Cookie, Any, 1 oz. Metexa, 3 oz. Milk, 1 Espresso Shot, Steam milk and liquor together in mug until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of steamed milk/liquor mixture,,
655,One Free Hour In The Candy Store, Ice Cream Drink, Tall Specialty, Oreo Cookie & Cherry, Any, 3 Oreo Cookies, 3/4 oz. Raspberry Liqueur, 3/4 oz. Creme de Noya, 3/4 oz. Amaretto, 6 Maraschino Cherries (stemmed), 2 Scoops Vanilla Ice Cream, 1/2 S, Combine ingredients in blender, blend until smooth
656,One-eyed Jack Manhattan, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Jack Daniel`s, 1/2 part Bailey`s Irish Cream, 1/2 part Amaretto, Float marshmallow in center of glass,,,,,
657,Open Grave, Mixed Cocktail, Tall Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Bacardi 151 Rum, 1/2 oz. Finlandia Vodka, 1/2 oz. Dark Rum, 1/2 oz. Peach Schnapps, 1/2 oz. Sour Mix, 1/2 oz. Orange, Mix ingredients as listed,,,,
658,Open House Punch, Punch, Punch Bowl, Orange and lemon slices, Winter,1, 750ml. Southern Comfort, 6 oz. Lemon juice,1, 6 oz. can frozen Lemonade,1, 6 oz. can frozen Orange juice, 3 liters Lemon-Lime Soda, Mix Southern Comfort, lemon juice, lemonade and orange juice in punch bowl. Add lemon-lime soda. Float block of ice. Makes 32,4 oz. servings
659,Opening, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Early Times, 1 tsp Noilly Prat Sweet Vermouth, 1 tsp Grenadine, Mix ingredients as listed,,,,,,,,
660,Orange Blossom, Mixed Cocktail, Collins, None, Orange, 1 1/4 oz. Gin, 4 oz. Orange juice, Pour ingredients as listed over ice,,,,,,,,,
